id_1,id_2,confidence_score,name_1,name_2,address_1,address_2
65154,48241.0,0.9457364341085271,first class pharmacy llc,first class pharmacy,7316 frankford ave 1st fl,7316 frankford ave
1767,8532.0,0.9457364341085271,replay music exchange llc,replay guitar exchange,3944 britton plz,3944 britton plz
9192,69171.0,0.9457364341085271,ninth ave cleaners inc,ninth avenue dry cleaners,6145 9th ave n,6145 9th ave n
59714,53878.0,0.9457364341085271,superior seal coating inc,superior seal coating,204 west lafayette street,204 w lafayette st
95001,32279.0,0.9457364341085271,surati street food llc,surati indian street food,4047 nolensville pike,4047 nolensville pike
1248,25198.0,0.9454545454545454,down under construction services inc,down under construction,11520 oakhurst rd,11520 oakhurst rd
75901,27556.0,0.9454545454545454,mckenzie sports therapy llc,mckenzie sports physical therapy,3425 conrad st,3425 conrad st
77358,27556.0,0.9454545454545454,mckenzie sports therapy llc,mckenzie sports physical therapy,3425 conrad st,3425 conrad st
71140,7117.0,0.9454545454545454,state street sandwiches llc,pompei’s state street sandwiches,301 w state st,301 w state st
75650,33747.0,0.9453044375644994,v star nails and spa inc,v star nails & spa,2139 galloway road,2139 galloway rd
12731,92290.0,0.945273631840796,pasco-hernando state college foundation inc,pasco-hernando state college,10230 ridge rd,10230 ridge rd
94681,11866.0,0.945273631840796,mysore palace indian cuisine llc,mysore palace indian vegetarian cuisine,9040 carothers pkwy ste b111,9040 carothers pkwy ste b111
2483,23256.0,0.9449735449735449,brocatos sandwich shop inc,brocato's sandwich shop,5021 east columbus drive,5021 e columbus dr
82444,20240.0,0.9448484848484848,rose nails ii inc,rose nails 2,1200 welsh rd unit i-1,1200 welsh rd unit l-1
82802,23090.0,0.9448028673835125,kims restaurant inc,kim's restaurant,5955 n 5th street,5955 n 5th st
59116,44772.0,0.9444444444444445,bob and joe's towing llc,bob and joe's towing,1000 north eagle road,1000 n eagle rd
31049,73847.0,0.9444444444444445,sushi club 188 inc,sushi club,8028 s emerson ave ste bb,8028 s emerson ave ste bb
7020,13810.0,0.9444444444444445,813 brewing llc,81bay brewing,4465 w gandy blvd,4465 w gandy blvd
86437,26370.0,0.9444444444444445,mewow cafe llc,mewow cat cafe,3617 old easton rd,3617 old easton rd
11498,35606.0,0.9444444444444445,quick lube plus tires inc,quick lube plus,6014 e hillsborough ave ste c,6014 e hillsborough ave ste c
96988,2843.0,0.9444444444444445,china moon lin inc,china moon,2373 murfreesboro pike,2373 murfreesboro pike
10963,30207.0,0.9444444444444445,crystal beach tire & auto inc,crystal beach tire & auto,5038 us 19,5038 us hwy 19
47299,65472.0,0.9444444444444445,center ice brewing llc,center ice brewery,3126 olive st,3126 olive st
43000,65472.0,0.9444444444444445,center ice brewing llc,center ice brewery,3126 olive st,3126 olive st
61201,64772.0,0.9444444444444445,nemi restaurant llc,nemi restaurant,2636 ann at,2636 e ann st
73279,44565.0,0.9444444444444445,jamaican d s inc,jamaican d's,1265 e chelten ave,1265 e chelten ave
38823,84347.0,0.9444444444444445,all creatures great and groomed llc,all creatures great and groomed,606 e troy,606 e troy ave
59947,11117.0,0.9444444444444445,vlore inc good day eatery,good day eatery,1735 market st,1735 market st
66851,25326.0,0.9444444444444445,michael mendlow,michael l mendlow dds,8505 germantown ave,8505 germantown ave
95464,2843.0,0.9444444444444445,china moon lin inc,china moon,2373 murfreesboro pike,2373 murfreesboro pike
12337,22199.0,0.9444444444444445,ginza 2 inc,ginza,6417 e county line rd ste 104,6417 e county line rd ste 104
85314,12366.0,0.9444444444444445,south st market i inc,south street market,746 south st,746 south st
57017,46177.0,0.9444444444444445,verde13 inc,verde,108 s 13th st,108 s 13th st
65486,10723.0,0.9444444444444445,marra ltd,marra's,1734 e passyunk ave,1734 e passyunk ave
90890,65972.0,0.9444444444444445,juice bar gulch llc,juice bar - the gulch,222 11th ave s,222 11th ave s
74315,1950.0,0.9444444444444445,asian cafe jtw inc,asian cafe,550 kimberton rd ste 10,550 kimberton rd ste 10
8821,22199.0,0.9444444444444445,ginza 2 inc,ginza,6417 e county line rd ste 104,6417 e county line rd ste 104
29105,44719.0,0.9444444444444445,the ball and biscu,the ball & biscuit,331 massachusetts ave,331 massachusetts ave
40791,50212.0,0.9444444444444445,philip johnson salon llc,philip johnson salon and spa,4581 laclede ave,4581 laclede ave
82142,19058.0,0.9444444444444445,juice room llc,the juice room,7127 germantown ave,7127 germantown ave
60412,32776.0,0.9444444444444445,vicos auto body,vico's auto body shop inc,312 arch st,312 arch st
20052,3686.0,0.9444444444444445,the tapper pub inc,tapper pub,3832 britton plz,3832 britton plz
52468,8129.0,0.9444444444444445,mizu sushi llc,mizu sushi bar,1013 washington ave,1013 washington ave
78964,2113.0,0.9444444444444445,china king 450 inc,china king,450 pennbrook pkwy,450 pennbrook pkwy
66245,71750.0,0.9444444444444445,condo shop llc,the condo shop,1425 locust st,1425 locust st
54981,60286.0,0.9444444444444445,milanj diamonds of pa inc,milanj diamonds,160 n gulph rd,160 n gulph rd
54891,80705.0,0.9444444444444445,cocoras inc,cocos,112 s 8th st,112 s 8th st
50394,33740.0,0.9444444444444445,lady di's diner & catering inc,lady di's deli & diner,630 n kingshighway st,630 n kingshighway st
35378,84266.0,0.9444444444444445,china king 148 inc,china king,148 n delaware st,148 n delaware st
88228,90337.0,0.9444444444444445,element 12south llc,element salon 12south,2907 12th ave s,2907 12th ave s
36265,84266.0,0.9444444444444445,china king 148 inc,china king,148 n delaware st,148 n delaware st
70034,73195.0,0.9444444444444445,bliss nail iii inc,bliss nail,156 e lancaster ave,156 e lancaster ave
70045,73195.0,0.9444444444444445,bliss nail iii inc,bliss nail,156 e lancaster ave,156 e lancaster ave
64996,73195.0,0.9444444444444445,bliss nail iii inc,bliss nail,156 e lancaster ave,156 e lancaster ave
40884,50212.0,0.9444444444444445,philip johnson salon llc,philip johnson salon and spa,4581 laclede ave,4581 laclede ave
78336,2673.0,0.9444444444444445,bause catered events inc,bause catered events,170 oak street,170 oak st
86547,11474.0,0.9444444444444445,old city photo booth,old city photo booth,702 n 3rd st # 73,702 n 3rd st ste 73
10911,30207.0,0.9444444444444445,crystal beach tire & auto inc,crystal beach tire & auto,5038 us 19,5038 us hwy 19
10534,13810.0,0.9444444444444445,813 brewing llc,81bay brewing,4465 w gandy blvd,4465 w gandy blvd
26694,38972.0,0.9444444444444445,healthy n' fresh llc,healthy n fresh cafe,3648 henderson blvd,3648 henderson blvd
86724,63454.0,0.9444444444444445,east lake restaurant inc,east lake chinese restaurant,6228 bustleton ave,6228 bustleton ave
45863,19388.0,0.9444444444444445,quality transmission inc,quality transmission service,5944 arsenal st,5944 arsenal st
15559,20667.0,0.9444444444444445,pure barre tpa llc,pure barre,12921 n dale mabry hwy,12921 n dale mabry hwy
65138,30149.0,0.9444444444444445,the weave bar llc,the weave bar,444 s 52nd st # 1,444 s 52nd st ste 1
2736,92048.0,0.9440789473684209,james j gift dds pa,james j gift dds ms,8001 n dale mabry hwy building 801,8001 n dale mabry hwy bldg 801
44073,4997.0,0.9440559440559442,greg mcpherson dds pc,greg mcpherson dds,3241 rue royale st,3241 rue royale
69708,34488.0,0.9439736346516008,allergy ear and skin care for animals llc,allergy ear & skin care for animals,4201 neshaminy boulevard ste 127,4201 neshaminy blvd ste 127
22676,59693.0,0.943840579710145,stash - a place for yarn,stash a place for yarn,2820 1st ave north,2820 1st ave n
55450,12203.0,0.9437927663734115,bells bike shop llc,bell's bike shop,1320 east passyunk avenue,1320 e passyunk ave
93065,54721.0,0.9435897435897437,smith brothers express lube llc,smith brothers car wash & express lube,436 murfreesboro pike,436 murfreesboro pike
93066,54721.0,0.9435897435897437,smith brothers express lube llc,smith brothers car wash & express lube,436 murfreesboro pike,436 murfreesboro pike
4937,79731.0,0.9435897435897437,friends of carrollwood cultural center,carrollwood cultural center,4537 lowell rd,4537 lowell rd
59639,66771.0,0.9434108527131783,benjamin l mckee dds pc,mckee l benjamin dds,112 north aberdeen ave,112 n aberdeen ave
61068,29408.0,0.943407960199005,clear refelction cleaning services inc,clear reflection cleaning service,220 moore st ste a,220 a moore st
61689,3507.0,0.9433962264150944,maria's summit restaurant inc,maria's ristorante on summit,8100 ridge ave,8100 ridge ave
57103,63644.0,0.9433962264150944,all about your smile pc,identical all about your smile,200 walnut st,200 walnut st
57104,63644.0,0.9433962264150944,all about your smile pc,identical all about your smile,200 walnut st,200 walnut st
58360,59093.0,0.9433962264150944,new world vision center inc,new world vision center,612-32 washington ave unit #3,612 washington ave ste 3
36034,1338.0,0.943355119825708,bamboo house 88 inc,bamboo house,5213 thompson rd,5213 e thompson rd
43513,10781.0,0.9432404540763675,a m clark and sons inc,a m clark & sons,7879 big bend blvd,7879 s big bend blvd
19897,5481.0,0.943089430894309,thai legacy restaurant llc,thai legacy restaurant,120 north parsons avenue,120 n parsons ave
66080,59271.0,0.943089430894309,the country bride inc,the country bride & gent,1537 n broad st,1537 n broad st
31066,57212.0,0.943089430894309,athenaeum foundation,athenaeum foundation,401 east michigan street,401 e michigan st
88639,75594.0,0.943089430894309,david m pittman dmd pllc,david pittman dmd,333 21st ave n,333 21st ave n
81441,90656.0,0.943089430894309,bollywood beauty salon,bollywood beauty salon,418 west lincoln highway,418 w lincoln hwy
88925,75594.0,0.943089430894309,david m pittman dmd pllc,david pittman dmd,333 21st ave n,333 21st ave n
19343,40355.0,0.943089430894309,brandon insurance agency inc,brandon insurance,158 w robertson st,158 w robertson st
65996,683.0,0.943089430894309,vintage sports closet llc,shibe vintage sports,137 s 13th st,137 s 13th st
60565,93244.0,0.943089430894309,johns automotive repair inc,john's auto repair,9365 old bustleton ave,9365 old bustleton ave
63117,36331.0,0.943089430894309,nigro's auto body repair inc,nigro's auto body,939 washington ave,939 washington ave
30849,92691.0,0.943089430894309,arbor lane kennel,the kennel at arbor lane,4835 e edgewood ave,4835 e edgewood ave
86072,53881.0,0.943089430894309,new hong kong bakery inc,hong kong bakery shop,917 race st,917 race st
84044,59672.0,0.943089430894309,jl unique nails & spa llc,unique nails and spa,178 n pine st,178 n pine st
25849,51780.0,0.943089430894309,anderson aluminum supply co,anderson aluminum,6214 w linebaugh ave,6214 w linebaugh ave
5805,91338.0,0.943089430894309,central insurance incorporated,central insurance school inc,13246 38th st n,13246 38th st n
5631,93606.0,0.943089430894309,market salamander llc,market salamander grille,36750 us hwy 19 n,36750 us hwy 19 n
67385,683.0,0.943089430894309,vintage sports closet llc,shibe vintage sports,137 s 13th st,137 s 13th st
78308,24374.0,0.9430682312038243,liberty real estate associate,liberty real estate associates,924 arch street,924 arch st
89431,45517.0,0.9429124334784713,long burnett and johnson pllc,long burnett and johnson,302 42nd ave,302 42nd ave n
82574,71849.0,0.9428571428571427,baldwin fine custom tailoring,baldwin fine custom tailoring formal wear,751 s 4th st,751 s 4th st
31731,4001.0,0.9428571428571427,fountain square animal clinic llc,city way animal clinics - fountain square,880 virginia ave,880 virginia ave
68842,61255.0,0.9428571428571427,big heads of warminster square llc,bigheads beef & ale of warminster square,1499 w street rd,1499 w street rd
63794,61255.0,0.9428571428571427,big heads of warminster square llc,bigheads beef & ale of warminster square,1499 w street rd,1499 w street rd
6163,80299.0,0.9426900584795321,eugene e hiben md p a,hiben eugene e md,13381 n 56th st,13389 n 56th st
60675,6411.0,0.9426699426699428,al axelrod flowers inc,axelrod flowers,4429 whitaker avenue,4429 whitaker ave
4338,82343.0,0.9426699426699424,all cats hospital llc,all cats hospital pa,2069 indian rocks road,2069 indian rocks rd s
55676,46714.0,0.9425287356321839,young & bowman inc,young & bowman,201 doyle st null,201 doyle st
83167,66015.0,0.9425287356321839,asian bistro 5688 inc,asian bistro,1250 baltimore pike,1250 baltimore pike
85190,7336.0,0.9425287356321839,2300 eco cleaners inc,eco cleaners,2300 christian st,2300 christian st
85189,7336.0,0.9425287356321839,2300 eco cleaners inc,eco cleaners,2300 christian st,2300 christian st
86441,41165.0,0.9425287356321839,neway hair salon inc,neway hair salon,224 n  9th st fl 1,224 n 9th st
67395,48633.0,0.9425287356321839,thirsty souls llc,the thirsty soul,1551 w passyunk ave,1551 w passyunk ave
59740,88124.0,0.9425287356321839,phillysmiles pllc,phillysmiles,1804 rittenhouse sq,1804 rittenhouse sq
76632,5873.0,0.9425287356321839,asia nails 2 llc,asia nail 2 & spa,1720 washington ave,1720 washington ave
4026,26959.0,0.9425287356321839,clearwater animal clinic inc,drstenzel clearwater animal clinic,1639 s missouri ave,1639 s missouri ave
55724,17800.0,0.9425287356321839,adrian k lo md pc,adrian lo md,301 s 8th st ste 3h,301 s 8th st ste 3h
38558,59049.0,0.9425287356321839,enjoy dental llc,enjoy indy dental,818 n college ave,818 n college ave
8937,26926.0,0.9425287356321839,oriental family medicine chartered,oriental family medicine,901 n hercules ave ste f,901 n hercules ave ste f
96725,22801.0,0.9425287356321839,ben little's inc,ben little's pure,4663 trousdale dr,4663 trousdale dr
7448,23772.0,0.9425287356321839,robert tawil,robert r tawil md,3741 w neptune st,3741 w neptune st
12153,26044.0,0.9425287356321839,jug & bottle llc,jug & bottle dept,6203 n florida ave,6203 n florida ave
97228,22801.0,0.9425287356321839,ben little's inc,ben little's pure,4663 trousdale dr,4663 trousdale dr
44178,10483.0,0.9422480620155038,fritzs frozen custard inc,fritz's frozen custard,1055 st catherine,1055 saint catherine st
22359,51890.0,0.9422222222222223,carrollwood color concepts and printing inc,carrollwood copy center and printing,11406 n dale mabry hwy ste 205,11406 n dale mabry hwy ste 205
83010,89999.0,0.9421134421134422,creative business accounting & tax service llp,creative business accounting & tax service,818 south st 1st floor,818 south st fl 1
86019,6907.0,0.9420289855072462,punch buggy brewing company,punch buggy brewing,1445 n american st,1445 n american st
10779,69340.0,0.9420289855072462,woven water brewing company llc,woven water brewing,456 w columbus dr,456 w columbus dr
80460,62516.0,0.9420289855072462,treetop quest philadelphia llc,treetop quest philly,51 chamounix dr,51 chamounix dr
80515,47954.0,0.9420289855072462,marathon embroidery co inc,marathon embroidery company,11 s 36th st,11 s 36th st
20545,74849.0,0.9420289855072462,dynamic carpet care,dynamic carpet care - tampa,207 w thomas st,207 w thomas st
39378,40705.0,0.9420289855072462,the center for healing arts llc,healing arts center,10073 manchester rd ste 100,10073 manchester rd ste 100
21156,24990.0,0.9420289855072462,cotee river brewing company inc,cotee river brewing,5760 main st,5760 main st
20544,74849.0,0.9420289855072462,dynamic carpet care,dynamic carpet care - tampa,207 w thomas st,207 w thomas st
23795,41702.0,0.9420289855072462,squeeze juice works central  llc,squeeze juice works,18 22nd st s,18 22nd st s
60214,787.0,0.9420289855072462,one mechanical new innovations llc,one mechanical new innovations,868 w street rd pmb 145,868 w street rd ste 145
40619,40705.0,0.9420289855072462,the center for healing arts,healing arts center,10073 manchester rd ste 100,10073 manchester rd ste 100
39394,5577.0,0.9420289855072462,oakville pub & sports grill llc,oakville  sports pub,6348 telegraph rd,6348 telegraph rd
43040,58308.0,0.9420289855072462,king doh restaurant inc,king doh chinese restaurant,10045 manchester rd,10045 manchester rd
11663,68992.0,0.9420289855072462,flying boat brewing company llc,flying boat brewing,1776 11th ave n,1776 11th ave n
29383,20745.0,0.9420289855072462,st john the evangelist catholic church indianapolis inc,saint john the evangelist catholic church,126 w georgia st,126 w georgia st
52337,33607.0,0.9419398907103824,the health & wellness center for men llc,the health & wellness center,9717 landmark parkway dr ste 115,9717 landmark pkwy dr ste 115
5186,68333.0,0.9419191919191918,classic touch cleaners llc,classic touch dry cleaners,2551 drew street ste 101,2551 drew st ste 101
86981,83445.0,0.9417989417989417,amp/advocate marketing and print inc,amp: advocate marketing & print,110 george l davis blvd,110 george l davis blvd
58039,92118.0,0.9417989417989417,smith memorial playgrounds,smith memorial playground & playhouse,3500 reservoir dr,3500 reservoir dr
10252,1106.0,0.9417989417989417,michelle and dave ultimate car care inc,michelle's ultimate car care,9901 4th st n,9901 4th st n
57383,92118.0,0.9417989417989417,smith memorial playgrounds,smith memorial playground & playhouse,3500 reservoir dr,3500 reservoir dr
2785,1951.0,0.9417989417989417,health associates of tampa bay pa,the health associates of tampa,508 s habana ave ste 300,508 s habana ave ste 300
33670,78851.0,0.9417989417989417,midland arts & antiques inc - mac5520,midland arts & antiques market,907 e michigan st,907 e michigan st
71377,27136.0,0.9411764705882354,chushang spicy,chu shang spicy 厨尚麻辣,925 arch st,925 arch st
17254,14177.0,0.9411764705882354,the dog saloon tampa llc,the dog saloon,3311 w bay to bay blvd,3311 w bay to bay blvd
66963,27136.0,0.9411764705882354,chushang spicy inc,chu shang spicy 厨尚麻辣,925 arch st,925 arch st
33100,56591.0,0.9411764705882354,absolute endodontics llc,absolute endodontics,725 east 65th street suite 400,725 e 65th st ste 400
80775,92161.0,0.9411764705882354,comfort & floyd llc,comfort & floyd,store 1301 s 11th st,1301 s 11th st
31392,66621.0,0.9411764705882354,reckley eye center llc,reckley eye care,5611 s meridian st,5611 s meridian st
49012,1585.0,0.9411764705882354,demo tape llc,the demo,4191 manchester ave,4191 manchester ave
80495,28119.0,0.9411764705882354,richard heacox,heacox richard d dmd,10 s clinton st ste 104,10 s clinton st ste 104
46976,1585.0,0.9411764705882354,demo tape llc,the demo,4191 manchester ave,4191 manchester ave
32190,66621.0,0.9411764705882354,reckley eye center,reckley eye care,5611 s meridian st,5611 s meridian st
29058,7313.0,0.9411764705882354,oakley&apos;s bistro llc,oakleys bistro,1464 w 86th st,1464 w 86th st
79978,62784.0,0.9411764705882354,win wah lu inc,win wah,106 fayette st,106 fayette st
18062,52063.0,0.9411764705882354,yoga village  llc,yoga village,2760 daniel st ste d,2760 daniel st
40711,45717.0,0.9411764705882354,morgan street brewery & tavern inc,morgan street brewery,721 n 2nd st,721 n 2nd st
79363,59482.0,0.9411764705882354,jeffrey cabot dmd pc,jeff cabot dmd,301 bainbridge st,301 bainbridge st
82264,15228.0,0.9411764705882354,veras all star pizza llc,all star pizza,2345 street rd,2345 street rd
20803,73378.0,0.9411764705882354,victory auto care llc,victory auto mall,10227 causeway blvd,10227 causeway blvd
88503,30290.0,0.9411764705882354,hyde salon inc,hyde salon,100 kenner ave ste b,100 kenner ave
13012,73378.0,0.9411764705882354,victory auto care llc,victory auto mall,10227 causeway blvd,10227 causeway blvd
73407,92882.0,0.9411764705882354,yoon youngs nail inc,young's nail salon,125 s 16th st,125 s 16th st
12191,69786.0,0.941125541125541,pedro m soler md pa,pedro m soler md,13015 w linebaugh ave #102,13015 w linebaugh ave ste 102
1719,51999.0,0.941025641025641,luis e martinez pa,luis e martinez dmd pa,3770 16th st,3770 16th st n
13118,74087.0,0.9407407407407407,petsville of citrus park,petsville citrus park,7302 altaloma street,7302 altaloma st
28978,93582.0,0.9406392694063926,shallos antique rest &amp; brewhaus,shallos antique restaurant & brewhouse,8811 hardegan st,8811 hardegan st
25617,54699.0,0.9404761904761904,49th street auto sales and repair inc,49th street auto repair,12290 49th st n,12290 49th st n
4566,8831.0,0.9404761904761904,all seasons landscaping,all seasons landscaping & nursery,101 pasadena ave s,101 pasadena ave s
28634,79158.0,0.9403453689167975,david e isaacs dds pc,david e isaacs dds,8870 zionsville rd #100,8870 zionsville rd ste 100
7401,21490.0,0.94017094017094,lowry park tavern llc,lowry parcade & tavern,1213 w waters ave,1213 w waters ave
126,18238.0,0.94017094017094,oasis irrigation & landscape inc,oasis irrigation & landscape,3331 w main st # b,3331 w main st unit b
